Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Ted Lilly,12,16,15,27.1,24.6,25.8,61.6,186,347,10,35,0,17,3,8,0.101,0.124,0.124,0.248,-34,130,113,4.14,106,1.255,356,331,0,1982.2,1827,293,661,1681,*1/H,
Derek Jeter,337,67,20,71.3,42.4,56.8,55.3,2747,11195,1923,3465,260,1311,358,1082,0.31,0.377,0.44,0.817,115,,,,,,,,,,,,,,*6D/H,
Larry Walker,148,58,17,72.7,44.7,58.7,57.2,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9H387/D45,
Curt Schilling,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1/H,
Roger Clemens,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,
Barry Bonds,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78HD/9,
Omar Vizquel,120,42,24,45.6,26.8,36.2,55.3,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,,,,,,,,,,,,,,*65H4/D379,
Scott Rolen,99,40,17,70.1,43.6,56.9,55.7,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,,,,,,,,,,,,,,*5/H,
Billy Wagner,107,24,16,27.7,19.8,23.7,32.6,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1,
Gary Sheffield,158,61,22,60.5,38,49.3,57.2,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6H/3,
Todd Helton,175,59,17,61.8,46.6,54.2,54.8,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,,,,,,,,,,,,,,*3H/7D9,
Manny Ramirez,226,69,19,69.3,39.9,54.6,53.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,,,,,,,,,,,,,,*7*9*DH,
Jeff Kent,123,51,17,55.4,35.8,45.6,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453H/D6,
Andruw Jones,109,34,17,62.7,46.4,54.6,58,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,,,,,,,,,,,,,,*89H7D/3,
Sammy Sosa,202,52,18,58.6,43.8,51.2,57.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98DH/7,
Andy Pettitte,128,44,18,60.2,34.1,47.2,61.6,108,196,6,27,1,13,0,6,0.138,0.163,0.184,0.346,-10,256,153,3.85,117,1.351,531,521,0,3316,3448,288,1031,2448,*1/H,
Bobby Abreu,95,54,18,60.2,41.6,50.9,57.2,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128,,,,,,,,,,,,,,*9DH7/8,
Paul Konerko,80,36,18,28,21.5,24.8,54.8,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.841,118,,,,,,,,,,,,,,*3*DH/57,
Jason Giambi,108,44,20,50.5,42.2,46.3,54.8,2260,7267,1227,2010,440,1441,20,1366,0.277,0.399,0.516,0.916,139,,,,,,,,,,,,,,*3*DH75/9,
Alfonso Soriano,105,31,16,28.6,27.6,28.1,53.6,1975,7750,1152,2095,412,1159,289,496,0.27,0.319,0.5,0.819,112,,,,,,,,,,,,,,*7*4DH/9856,
Eric Chavez,29,25,17,38.3,31.1,34.7,55.7,1615,5518,816,1477,260,902,50,639,0.268,0.342,0.475,0.818,115,,,,,,,,,,,,,,*5HD/367,
Cliff Lee,72,30,13,43.2,39.7,41.4,61.6,133,291,18,51,2,19,2,5,0.175,0.189,0.227,0.415,13,143,91,3.52,118,1.196,328,324,0,2156.2,2116,223,464,1824,*1/H,
Raul Ibanez,38,27,19,20.9,20.1,20.5,53.6,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111,,,,,,,,,,,,,,*7*DH93/852,
J.J. Putz,25,17,12,13.1,12.9,13,32.6,212,0,0,0,0,0,0,0,,,,,,37,33,3.08,138,1.152,572,0,189,566.2,469,50,184,599,*1,
Brad Penny,23,11,14,18.9,21.4,20.1,61.6,288,529,27,83,3,34,0,3,0.157,0.166,0.214,0.38,-1,121,101,4.29,99,1.376,349,319,0,1925,2030,194,619,1273,*1/H,
Adam Dunn,75,32,14,18,17.7,17.8,53.6,2001,6883,1097,1631,462,1168,63,1317,0.237,0.364,0.49,0.854,124,0,0,9,76,3,1,0,0,1,2,0,1,0,*7*3*D9H/1,
Carlos Pena,25,18,14,25.5,24.1,24.8,54.8,1493,4949,745,1146,286,818,29,817,0.232,0.346,0.462,0.808,117,,,,,,,,,,,,,,*3DH/7,
Heath Bell,31,13,11,7.1,8.9,8,32.6,549,6,0,0,0,0,0,0,0,0,0,0,-100,38,32,3.49,112,1.269,590,0,168,628.2,584,48,214,637,*1,
Rafael Furcal,54,32,14,39.5,30.7,35.1,55.3,1614,6477,1063,1817,113,587,314,643,0.281,0.346,0.402,0.748,96,,,,,,,,,,,,,,*6H4,
Brian Roberts,34,24,14,29.5,28.1,28.8,57,1418,5531,850,1527,97,542,285,609,0.276,0.347,0.409,0.756,101,,,,,,,,,,,,,,*4H6D,
Jose Valverde,51,13,12,11.5,12,11.7,32.6,387,2,1,1,0,0,0,0,0.5,0.5,1,1.5,276,27,33,3.27,133,1.196,626,0,288,630.1,490,67,264,692,*1,
Chone Figgins,18,19,12,22,22.5,22.3,55.7,1282,4701,708,1298,35,403,341,540,0.276,0.349,0.363,0.712,92,,,,,,,,,,,,,,*5487H/69D,
Josh Beckett,43,23,14,35.7,31.2,33.4,61.6,153,289,19,41,3,18,0,12,0.142,0.175,0.215,0.39,4,138,106,3.88,111,1.232,335,332,0,2051,1897,238,629,1901,*1,
